occupation,js_divergence,cross_gender_acc,cross_race_acc
CEO,0.07842777778466663,0.9444444444444444,0.5555555555555556
Cleaner,0.022784046623474274,0.9444444444444444,0.6111111111111112
Construction Worker,0.19343198902310726,0.8888888888888888,0.6111111111111112
Doctor,0.19343198902310726,0.9444444444444444,0.7222222222222222
Engineer,0.162283445422864,0.9444444444444444,0.7777777777777778
Nurse,0.1338543719126949,0.9444444444444444,0.6111111111111112
Scientist,0.09715889683489252,1.0,0.5
Secretary,0.2441351523363544,1.0,0.3888888888888889
